0.005149		465
0.006498		465
0.008177		437.5
0.009945		411
0.01173			402.3
0.01354			384.5
0.01537			378
0.01721			360.3
0.01908			348.1
0.02097			337
0.02288			325
0.02481			307.9
0.02677			296.7
0.02875			285.9
0.03075			275.3
0.03277			263
0.03483			252
0.0369			242.8
0.03901			231.6
0.04114			222.2
0.04329			210.9
0.04548			204.8
0.04769			197.2
0.04994			187.5
0.05221			178.1
0.05452			168.8
0.05686			162.5
0.05923			155.5
0.06164			149.4
0.06408			140.2
0.06656			135.09
0.06908			129
0.07163			120.53
0.07423			115.1
0.07686			109.63
0.07954			104.97
0.08226			100.22
0.08503			93.18
0.08784			89.16
0.0907			81.78
0.09361			78.85
0.09657			73.92
0.09959			68.77
0.1027			65.53
0.1058			61.9
0.109			58.11
0.1122			54.11
0.1156			51.21
0.1189			48.24
0.1224			44.99
0.1259			42.74
0.1295			39.49
0.1332			35.75
0.137			33.63
0.1408			31.08
0.1448			28.91
0.1488			25.65
0.153			24.16
0.1572			22.35
0.1616			20.22
0.166			19.01
0.1706			16.92
0.1754			15.2
0.1802			13.9
0.1852			12.09
0.1904			11.26
0.1957			10.11
0.2013			9.31
0.207			8.07
0.2129			6.98
0.219			6.22
0.2253			5.38
0.2319			4.4
0.2388			4.25
0.246			3.47
0.2535			2.82
0.2613			2.52
0.2695			2.142
0.2782			1.824
0.2873			1.455
0.297			1.257
0.3073			0.848
0.3182			0.633
0.3299			0.558
0.3425			0.417
0.3561			0.269
0.3709			0.235
0.377			0.2251
0.384			0.1744
0.391			0.1571
0.398			0.1333
0.405			0.1161
0.412			0.09261
0.42			0.07812
0.428			0.06324
0.436			0.0536
0.445			0.04467
0.454			0.03369
0.464			0.03024
0.474			0.02553
0.485			0.02158
0.496			0.01945
0.508			0.01804
0.52			0.01708
0.533			0.01607
0.547			0.01686
0.56			0.01846
0.574			0.01826
0.588			0.02077
0.602			0.02285
0.616			0.02224
0.629			0.02423
0.643			0.02465
0.657			0.02743
0.671			0.02479
0.685			0.02511
0.7			0.02735
0.714			0.02652
0.728			0.02587
0.742			0.02505
0.757			0.02603
0.771			0.02407
0.786			0.02316
0.801			0.02134
0.816			0.02159
0.831			0.01893
0.847			0.01832
0.863			0.01633
0.88			0.01642
0.897			0.01695
0.913			0.01414
0.931			0.01405
0.948			0.0141
0.966			0.01192
0.985			0.01225
1.005			0.01131
1.024			0.01004
1.044			0.008735
1.065			0.007866
1.086			0.008133
1.108			0.007199
1.131			0.006501
1.155			0.005087
1.179			0.005261
1.205			0.004961
1.232			0.004224
1.261			0.0034
1.29			0.003264
1.322			0.002695
1.355			0.002213
1.39			0.001999
1.428			0.001633
1.467			0.001471
1.507			0.001066
1.552			8.41E-04
1.603			7.47E-04
1.656			5.57E-04
1.713			4.64E-04
1.777			3.69E-04
1.851			2.16E-04
1.932			1.92E-04
2.024			1.26E-04
2.133			5.86E-05
2.272			4.12E-05
2.443			2.30E-05
